type,name,description,url
url,Univision_WL2_1_manageengine_com,api,manageengine.com
url,Univision_WL2_2_maps_googleapis_com,api,maps.googleapis.com
url,Univision_WL2_3_match_adsrvr_org,api,match.adsrvr.org
url,Univision_WL2_4_match_bnmla_com,api,match.bnmla.com
url,Univision_WL2_5_match_deepintent_com,api,match.deepintent.com
url,Univision_WL2_6_match_prod_bidr_io,api,match.prod.bidr.io
url,Univision_WL2_7_maxcdn_bootstrapcdn_com,api,maxcdn.bootstrapcdn.com
url,Univision_WL2_8_ml314_com,api,ml314.com
url,Univision_WL2_9_msedge_api_cdp_microsoft_com,api,msedge.api.cdp.microsoft.com
url,Univision_WL2_10_mtalk_google_com,api,mtalk.google.com
url,Univision_WL2_11_mweb_ck_inmobi_com,api,mweb.ck.inmobi.com
url,Univision_WL2_12_mysignins_microsoft_com,api,mysignins.microsoft.com
url,Univision_WL2_13_mytp_blob_core_windows_net,api,mytp.blob.core.windows.net
url,Univision_WL2_14_mytp_ontp_app,api,mytp.ontp.app
url,Univision_WL2_15_mytp_teleperformance_com,api,mytp.teleperformance.com
url,Univision_WL2_16_na6_adobeconnect_com ,api,na6.adobeconnect.com 
url,Univision_WL2_17_na6cps_adobeconnect_com ,api,na6cps.adobeconnect.com 
url,Univision_WL2_18_na6fms1_adobeconnect_com ,api,na6fms1.adobeconnect.com 
url,Univision_WL2_19_na6fms10_adobeconnect_com ,api,na6fms10.adobeconnect.com 
url,Univision_WL2_20_na6fms11_adobeconnect_com ,api,na6fms11.adobeconnect.com 
url,Univision_WL2_21_na6fms12_adobeconnect_com ,api,na6fms12.adobeconnect.com 
url,Univision_WL2_22_na6fms13_adobeconnect_com ,api,na6fms13.adobeconnect.com 
url,Univision_WL2_23_na6fms14_adobeconnect_com ,api,na6fms14.adobeconnect.com 
url,Univision_WL2_24_na6fms15_adobeconnect_com ,api,na6fms15.adobeconnect.com 
url,Univision_WL2_25_na6fms2_adobeconnect_com ,api,na6fms2.adobeconnect.com 
url,Univision_WL2_26_na6fms3_adobeconnect_com ,api,na6fms3.adobeconnect.com 
url,Univision_WL2_27_na6fms4_adobeconnect_com ,api,na6fms4.adobeconnect.com 
url,Univision_WL2_28_na6fms5_adobeconnect_com ,api,na6fms5.adobeconnect.com 
url,Univision_WL2_29_na6fms6_adobeconnect_com ,api,na6fms6.adobeconnect.com 
url,Univision_WL2_30_na6fms7_adobeconnect_com ,api,na6fms7.adobeconnect.com 
url,Univision_WL2_31_na6fms8_adobeconnect_com ,api,na6fms8.adobeconnect.com 
url,Univision_WL2_32_na6fms9_adobeconnect_com ,api,na6fms9.adobeconnect.com 
url,Univision_WL2_33_na6hostmgr_adobeconnect_com ,api,na6hostmgr.adobeconnect.com 
